smru_platform_code,instr_id,year,period,continuous
ct96-02-13,12554,2013,moult,0
ct96-03-13,12555,2013,moult,0
ct96-09-13,12564,2013,moult,0
ct96-10-13,12565,2013,moult,0
ct96-16-13,12569,2013,moult,0
ct96-20-13,12603,2013,moult,0
ct96-29-13,12617,2013,moult,0
ct96-23-13,12622,2013,moult,0
ct96-18-13,12623,2013,moult,0
ct96-22-13,12630,2013,moult,0
ct96-21-13,12632,2013,moult,0
ct96-28-13,12663,2013,moult,0
ct96-24-13,12664,2013,moult,0
ct96-25-13,12665,2013,moult,0
ct98-39-13,12635,2014,moult,0
ct98-42-13,12638,2014,moult,0
ct98-31-13,12688,2014,moult,0
ct98-35-13,12690,2014,moult,0
ct98-43-13,12693,2014,moult,0
ct98-46-13,12694,2014,moult,0
ct98-34-13,12695,2014,moult,0
ct98-49-13,12698,2014,moult,0
ct98-33-13,12699,2014,moult,0
ct98-32-13,12700,2014,moult,0
ft07-Cy28-11,11548,2011,moult,0
ft07-Cy26-11,11617,2011,moult,0
ft11-Cy30b-12,11550,2012,moult,0
ft10-Cy34-11,12076,2011,reproduction,0
ft10-Cy35-11,12078,2011,reproduction,0
ft10-Ox04-11,12116,2011,reproduction,0
ft10-Ox05-11,12117,2011,reproduction,0
ft10-Ox03-11,12119,2011,reproduction,0
ct82-263-11,11263,2011,reproduction,0
ft14-F1-13,12454,2013,reproduction,0
ft14-F2-13,12453,2013,reproduction,0
ft14-F4-13,12451,2013,reproduction,0
ft14-C2-13,12552,2013,reproduction,0
ft18-F2-12,12453,2014,reproduction,0
ft18-F4-12,12451,2014,reproduction,0
ct112-050-14,13050,2014,reproduction,1
ct112-033-14,13033,2014,reproduction,1
ct112-049-14,13049,2014,reproduction,1
ct112-048-14,13048,2014,reproduction,1
ct112-035-14,13035,2014,reproduction,1
ct120-265BAT-15,13265,2015,reproduction,0
ct120-266BAT-15,13266,2015,reproduction,0
ct132-331-16,14331,2016,reproduction,1
ct131-035BAT2-15,13035,2016,reproduction,1
ct131-048BAT2-15,13048,2016,reproduction,1
ct131-265BAT2-16,13265,2016,reproduction,0
ct139-624-17,14624,2017,reproduction,1
ct139-622-17,14622,2017,reproduction,1
ct139-F620-17,14620,2017,reproduction,1
ct139-331BAT-16,14331,2017,reproduction,1
ct135-297BAT-13,12297,2017,moult,0
ct135-939BAT-14,12939,2017,moult,0
ct135-965BAT-14,12965,2017,moult,0
ct135-084BAT-14,13084,2017,moult,0
ct135-184BAT-14,13184,2017,moult,0
ct135-186BAT-14,13186,2017,moult,0
ct135-190BAT-14,13190,2017,moult,0
ft18-C2-13,12552,2014,reproduction,0
ct112-034-14,13034,2014,reproduction,1
ct139-F932BAT-13,12932,2017,reproduction,0
ft23-F676-18,14676,2018,reproduction,1
ft23-F781-18,14781,2018,reproduction,1
ft23-C899-18,14899,2018,reproduction,1
ft23-C900-18,14900,2018,reproduction,1
ft23-C901-18,14901,2018,reproduction,1
ft23-C902-18,14902,2018,reproduction,1
ft23-C903-18,14903,2018,reproduction,1
ft23-F904-18,14904,2018,reproduction,1
ft23-F905-18,14905,2018,reproduction,1
ft22-686-18,14686,2018,reproduction,1
ft22-873-18,14873,2018,reproduction,1
ft22-874-18,14874,2018,reproduction,1
ft22-875-18,14875,2018,reproduction,1
ft22-876-18,14876,2018,reproduction,1
ft22-878-18,14878,2018,reproduction,1
ft22-879-18,14879,2018,reproduction,1
ft22-881-18,14881,2018,reproduction,1
ft22-882-18,14882,2018,reproduction,1