deployment_code,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,lim_1,lim_2,lim_3,lim_4,Tlim_1,Tlim_2,Slim_1,Slim_2,pmax,pmax_fluo,is_lon_center_180,Tcontour,Scontour
ct69,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,-2,8,32,36,500,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct7,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct70,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct71,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,-2.5,8,30,35,400,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct73,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct74,0.05,0.05,-3,32,4,40,30,-80,-70,150,190,-2.5,1,32.5,35,1000,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct75,0.05,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct76,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,12,22,35,36.6,200,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct77,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct78,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct78d,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct79,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct8,0.2,0.2,-3,12,25,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct80,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct81,0.1,0.1,-3,32,4,40,30,-80,-70,150,190,-2,8,32,36,300,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct82,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct83,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct84,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct85,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct86,0.1,0.1,-3,32,4,40,30,-80,-70,150,190,12,22,35,36.6,100,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct87,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct88,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,-2.5,1,32.5,35,1000,100,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct89,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct9,0.2,0.2,-3,32,25,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct90,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct91,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,12,22,35,36.6,400,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct92,0.1,0.1,-3,32,4,40,30,-80,-70,150,190,-2,8,32,36,400,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct93,0.1,0.1,-3,32,4,40,30,-80,-70,150,190,-2,8,32,36,400,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct94,0.1,0.1,-3,32,4,40,30,-80,-70,150,190,-2,8,32,36,400,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ct95,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct96,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct97,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct98,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ct99,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
eb03,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,-2,10,29,34,100,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
eb04,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft01,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft02,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft03,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft04,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft05,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,-2,8,32,36,500,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ft06,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft07,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft08,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,-2,8,30,36,400,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ft09,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft10,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft11,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft12,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft13,0.1,0.2,-3,32,4,40,30,-80,-70,150,190,12,22,35,37,300,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ft14,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft15,0.05,0.2,-3,32,4,40,30,-10,10,-60,-30,20,32,0,40,200,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ft17,0.05,0.2,10,40,0,40,30,-10,10,-60,-30,20,32,0,40,200,100,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ft18,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft19,0.1,0.1,-3,32,4,40,30,-10,10,-60,-30,10,22,35,36.6,400,200,0,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
ft20,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft21,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft22,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft23,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft24,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft25,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ft26,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hd2bb,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hd2f,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hd2g,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hd3,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hd5bb,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hd6,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hg19,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hg37,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hg37g,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hg4,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hg42,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hg47,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hg9,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
hp2,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
kp01,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs11,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs14,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,-2.5,8,30,35,550,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
rs15,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,-2.5,8,30,35,550,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
rs17,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,-2.5,8,30,35,550,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
rs18,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs19,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,-2.5,8,30,35,550,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
rs22,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,-2.5,8,30,35,550,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
rs23,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,-2.5,8,30,35,550,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
rs27,0.1,0.2,-3,32,4,40,30,-10,10,-60,-30,-2.5,8,30,35,550,200,1,[-2 -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1 -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1 0 0 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 6 7 8 9 10 ],[33.3 33.4 33.5 33.6 33.7 33.8 33.9 34 34.1 34.2 34.3 34.4 34.5 34.6 34.65 34.7 34.75 34.8 34.85 34.9 ]
rs28,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs29,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs31,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs32,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs34,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs6,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
rs9,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd04,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd06,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd07,0.03,0.1,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd09,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd1,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd10,0.1,0.2,-3,32,4,40,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd11,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
wd3,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
vc04,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,200,0,,
ct124,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,200,0,,
