deployment_code,pi_code,process,public,country,updated
AL01,AFGAME  ,0,0,USA,0
ct113,AWI     ,1,1,GERMANY,0
ct21,AWI     ,1,1,GERMANY,1
ct35,AWI     ,1,1,GERMANY,1
ct35b,AWI     ,1,1,GERMANY,1
ct44,AWI     ,1,1,GERMANY,1
ct68,AWI     ,1,1,GERMANY,1
ct87,AWI     ,1,1,GERMANY,1
ct99,AWI     ,1,1,GERMANY,1
wd06,AWI     ,1,1,GERMANY,0
wd07,AWI     ,1,1,GERMANY,0
ct33,BESTER  ,1,1,SOUTH-AFRICA,1
ct42,BESTER  ,1,1,SOUTH-AFRICA,1
ct50,BESTER  ,1,1,SOUTH-AFRICA,1
ct90,BESTER  ,1,1,SOUTH-AFRICA,1
ct102,BESTER-AWI  ,1,1,GERMANY,1
ct35x,BESTER-AWI  ,1,1,SOUTH-AFRICA,1
ct54,BESTER-AWI  ,1,1,GERMANY,1
ct73,BESTER-AWI  ,1,1,SOUTH-AFRICA,1
sa01,BESTER-AWI  ,1,1,SOUTH-AFRICA,0
ct89,BLOCK   ,1,0,USA,1
ct125,COSTA,1,0,USA,0
ct127,COSTA,1,0,USA,0
ct10,COSTA   ,1,1,USA,1
ct107,COSTA   ,1,1,USA,1
ct114,COSTA   ,1,0,USA,0
ct12,COSTA   ,1,1,USA,1
ct126,COSTA   ,1,0,USA,1
ct129,COSTA   ,0,0,USA,0
ct13,COSTA   ,1,1,USA,1
ct14,COSTA   ,1,1,USA,1
ct15,COSTA   ,1,0,USA,1
ct17,COSTA   ,1,1,USA,1
ct19,COSTA   ,1,1,USA,1
ct25,COSTA   ,1,1,USA,1
ct28,COSTA   ,1,1,USA,1
ct29,COSTA   ,1,1,USA,1
ct30,COSTA   ,1,1,USA,1
ct37,COSTA   ,1,1,USA,1
ct4,COSTA   ,1,1,USA,1
ct41,COSTA   ,1,1,USA,1
ct48,COSTA   ,1,1,USA,1
ct51,COSTA   ,1,1,USA,1
ct53,COSTA   ,1,1,USA,1
ct63,COSTA   ,1,1,USA,1
ct67,COSTA   ,1,1,USA,1
ct74,COSTA   ,1,1,USA,1
ct88,COSTA   ,1,1,USA,1
ct9,COSTA   ,1,1,USA,1
ft09,COSTA   ,1,1,USA,1
ct1,FEDAK   ,1,1,UK,1
ct40,FEDAK   ,1,1,UK,1
ct45,FEDAK   ,1,1,UK,1
ct49,FEDAK   ,1,1,UK,1
ct58,FEDAK   ,1,1,UK,1
ct65,FEDAK   ,1,1,UK,1
ct8,FEDAK   ,1,1,UK,1
hg48,FEDAK   ,1,1,UK,1
hg48a,FEDAK   ,1,1,UK,1
rh01,FEDAK   ,1,1,UK,1
ct121,GAO,1,0,CHINA,1
ct105,GAO     ,1,1,CHINA,1
ct118,GOEBEL  ,1,0,USA,0
ct57,GOEBEL  ,1,0,USA,0
ct83,GOEBEL  ,1,0,USA,0
NW01,GRONLAND,0,0,GRONLAND,0
ct55,HAMMILL ,1,1,CANADA,1
hd1,HAMMILL ,0,0,CANADA,0
hd2bb,HAMMILL ,1,1,CANADA,0
hd2f,HAMMILL ,1,1,CANADA,0
hd2g,HAMMILL ,1,1,CANADA,0
hd3,HAMMILL ,1,1,CANADA,0
hd5bb,HAMMILL ,1,1,CANADA,0
hd5g,HAMMILL ,0,0,CANADA,0
hd6,HAMMILL ,1,1,CANADA,0
hg19,HAMMILL ,1,1,CANADA,0
hg4,HAMMILL ,1,1,CANADA,0
hg5,HAMMILL ,0,0,CANADA,0
hg9,HAMMILL ,1,1,CANADA,0
hp1,HAMMILL ,0,0,CANADA,0
hp2,HAMMILL ,1,1,CANADA,0
MH1,HAMMILL ,0,0,CANADA,0
MH2,HAMMILL ,0,0,CANADA,0
MH3,HAMMILL ,0,0,CANADA,0
MH4,HAMMILL ,0,0,CANADA,0
MH5,HAMMILL ,0,0,CANADA,0
MH6,HAMMILL ,0,0,CANADA,0
rs11,HAMMILL ,1,1,CANADA,0
rs18,HAMMILL ,1,1,CANADA,0
rs28,HAMMILL ,1,0,CANADA,0
rs3,HAMMILL ,0,0,CANADA,0
rs6,HAMMILL ,1,1,CANADA,0
rs9,HAMMILL ,1,1,CANADA,0
tu34,HAMMILL ,0,0,CANADA,0
wd04,HINDELL,1,1,AUSTRALIA,0
awru1,HINDELL ,1,1,AUSTRALIA,1
ct2,HINDELL ,1,1,AUSTRALIA,1
ct36,HINDELL ,1,1,AUSTRALIA,1
ct38w,HINDELL ,1,1,AUSTRALIA,1
ct47,HINDELL ,1,1,AUSTRALIA,1
ct6,HINDELL ,1,1,AUSTRALIA,1
ct75,HINDELL ,1,1,AUSTRALIA,1
wd1,HINDELL ,1,1,AUSTRALIA,1
wd3,HINDELL ,1,1,AUSTRALIA,1
ct71,HOLLAND ,1,0,USA,0
rs14,HOLLAND ,1,0,USA,0
rs15,HOLLAND ,1,0,USA,0
rs17,HOLLAND ,1,0,USA,0
rs19,HOLLAND ,1,0,USA,0
rs22,HOLLAND ,1,0,USA,0
rs23,HOLLAND ,1,0,USA,0
rs27,HOLLAND ,1,0,USA,0
rs29,HOLLAND ,0,0,USA,0
ct72,IFMGEOMA,1,0,GERMANY,1
hg43G,IMARES,1,0,NETHERLANDS,1
hg43LT,IMARES,1,0,NETHERLANDS,1
hg43LZ,IMARES,1,0,NETHERLANDS,1
hg46G,IMARES,1,0,NETHERLANDS,1
hg46LT,IMARES,1,0,NETHERLANDS,1
hg46LZ,IMARES,1,0,NETHERLANDS,1
hg51,IMARES,1,0,NETHERLANDS,1
hg51x,IMARES,1,0,NETHERLANDS,1
pv54L,IMARES,1,0,NETHERLANDS,1
pv60L,IMARES,1,0,NETHERLANDS,1
pv61,IMARES,1,0,NETHERLANDS,1
ct119,IMOS,1,0,AUSTRALIA,0
ct122,IMOS,1,0,AUSTRALIA,0
ct128,IMOS,1,0,AUSTRALIA,0
ct100,IMOS    ,1,1,AUSTRALIA,1
ct101,IMOS    ,1,0,AUSTRALIA,1
ct108,IMOS    ,1,1,AUSTRALIA,1
ct109,IMOS    ,1,1,AUSTRALIA,1
ct110,IMOS    ,1,0,AUSTRALIA,1
ct111,IMOS    ,1,1,AUSTRALIA,1
ct116,IMOS    ,1,1,AUSTRALIA,0
ct64,IMOS    ,1,1,AUSTRALIA,1
ct77,IMOS    ,1,1,AUSTRALIA,1
ct78,IMOS    ,1,1,AUSTRALIA,1
ct78d,IMOS    ,1,1,AUSTRALIA,1
ct79,IMOS    ,1,1,AUSTRALIA,1
ct85,IMOS    ,1,1,AUSTRALIA,1
ct91,IMOS    ,1,0,AUSTRALIA,1
ct96,IMOS    ,1,1,AUSTRALIA,1
ct98,IMOS    ,1,1,AUSTRALIA,1
ft15,IPHC    ,1,1,FRANCE,1
ft17,IPHC    ,1,1,FRANCE,1
pv52,LAVAL,1,0,CANADA,0
ct124,MUELBERT,1,0,BRAZIL,0
ct22,MUELBERT,1,1,BRAZIL,1
ct39,MUELBERT,1,1,BRAZIL,1
ct46,MUELBERT,1,1,BRAZIL,1
ct56,MUELBERT,1,1,BRAZIL,1
ct27,NICHOLLS,1,1,UK,1
ct27x,NICHOLLS,1,1,UK,1
ct43,NICHOLLS,1,1,UK,1
ct70,NICHOLLS,1,1,UK,1
hg37,NINA    ,1,0,NORWAY,0
hg37g,NINA    ,1,0,NORWAY,0
hg42,NINA    ,1,0,NORWAY,0
ct20,NMML    ,1,0,CANADA,1
NP04c,NPOLAR,0,0,NORWAY,0
ag01,NPOLAR  ,1,0,NORWAY,0
bv3,NPOLAR  ,1,0,NORWAY,0
ct103,NPOLAR  ,1,0,NORWAY,0
ct130,NPOLAR  ,0,0,NORWAY,0
ct32,NPOLAR  ,1,0,NORWAY,1
ct32x,NPOLAR  ,1,0,NORWAY,1
ct34,NPOLAR  ,1,1,NORWAY,1
ct52,NPOLAR  ,1,0,NORWAY,0
ct69,NPOLAR  ,1,0,NORWAY,0
ct81,NPOLAR  ,1,0,NORWAY,0
ct92,NPOLAR  ,1,0,NORWAY,0
ct93,NPOLAR  ,1,0,NORWAY,0
ct94,NPOLAR  ,1,0,NORWAY,0
ft05,NPOLAR  ,1,0,NORWAY,0
ft08,NPOLAR  ,1,0,NORWAY,0
NP01,NPOLAR  ,1,0,NORWAY,0
NP02,NPOLAR  ,0,0,NORWAY,0
pv34,NPOLAR  ,0,0,NORWAY,0
ct80,OHSHIMA ,0,0,JAPAN,0
vc03,OTN,1,0,CANADA,0
vc04,OTN,1,0,CANADA,0
tu78,RIO     ,0,0,BRAZIL,0
hg47,ROQUET,1,0,SWEDEN,0
ct123,SARDI,1,0,AUSTRALIA,0
ct106,SARDI   ,1,0,AUSTRALIA,0
ct115,SARDI   ,1,0,AUSTRALIA,0
ct31,SARDI   ,1,0,AUSTRALIA,0
ct61,SARDI   ,1,0,AUSTRALIA,0
ct76,SARDI   ,1,0,AUSTRALIA,0
ct86,SARDI   ,1,0,AUSTRALIA,0
ft13,SARDI   ,1,0,AUSTRALIA,0
ft19,SARDI   ,1,0,AUSTRALIA,0
ct104,SMRU    ,1,0,UK,1
ct59,SPRINGER,1,0,USA,1
bs1,STANILAN,1,0,UK,1
bs2,STANILAN,1,0,UK,1
DL01,STANTEC,0,0,USA,0
eb03,STANTEC,1,0,USA,0
eb04,STANTEC ,0,0,USA,0
ct18,STENSON ,1,1,CANADA,1
ct120,XTOPHE,1,0,FRANCE,1
ct11,XTOPHE  ,1,1,FRANCE,1
ct112,XTOPHE  ,1,1,FRANCE,1
ct117,XTOPHE  ,1,1,FRANCE,0
ct16,XTOPHE  ,1,1,FRANCE,1
ct23,XTOPHE  ,1,1,FRANCE,1
ct23x,XTOPHE  ,1,1,FRANCE,1
ct26,XTOPHE  ,1,1,FRANCE,1
ct3,XTOPHE  ,1,1,FRANCE,1
ct38e,XTOPHE  ,1,1,FRANCE,1
ct62,XTOPHE  ,1,1,FRANCE,1
ct7,XTOPHE  ,1,1,FRANCE,1
ct82,XTOPHE  ,1,1,FRANCE,1
ct84,XTOPHE  ,1,1,FRANCE,1
ct95,XTOPHE  ,1,1,FRANCE,0
ct97,XTOPHE  ,1,1,FRANCE,1
ft01,XTOPHE  ,1,1,FRANCE,1
ft02,XTOPHE  ,1,1,FRANCE,1
ft03,XTOPHE  ,1,1,FRANCE,1
ft04,XTOPHE  ,1,1,FRANCE,1
ft06,XTOPHE  ,1,1,FRANCE,1
ft07,XTOPHE  ,1,1,FRANCE,1
ft10,XTOPHE  ,1,1,FRANCE,1
ft11,XTOPHE  ,1,1,FRANCE,1
ft12,XTOPHE  ,1,1,FRANCE,1
ft18,XTOPHE  ,1,0,FRANCE,1
ct131,XTOPHE  ,1,0,FRANCE,1
wd09,CNRS PEPS,1,0,FRANCE,1
ct134,IMOS,1,0,AUSTRALIA,1
NW02,GRONLAND,0,0,GRONLAND,0
ct133,GAO,1,0,CHINA,1
DL02,DFO Quebec,1,0,CANADA,1
ct138,NPOLAR,1,0,NORWAY,1
rs31,HOLLAND ,1,0,USA,1
ct139,XTOPHE,1,0,FRANCE,1
rs32,HOLLAND ,1,0,USA,1
ct135,IMOS,1,0,AUSTRALIA,1
BM01,Alaska Fish And Game,1,0,USA,1
ct132,XTOPHE,1,0,FRANCE,1
ct136,SARDI,1,0,AUSTRALIA,1
BM02,Alaska Fish And Game,1,0,USA,1
kp01,IMOS,1,0,AUSTRALIA,1
MY01,Aarhus,1,0,DENMARK,1
ct137,COSTA,1,0,USA,1
ft14,XTOPHE,1,1,FRANCE,1
